bb | ab 
bb | ab 
bb | ab 
bb | ab 
bb | ab 
bb | ab 
bb | ab 
bb | ab 
bb | ab 
bb | ab 
bb | ab 
bb | ab 
bb | ab 
bba | aba 
bba | aba 
bba | aba 
bba | aba 
bbc | abc 
bbc | abc 
bbc | abc 
bbc | abc 
bbd | abd 
bbd | abd 
bbd | abd 
bbd | abd 
abb | aab 
abb | aab 
abb | aab 
abb | aab 
cbb | cab 
cbb | cab 
cbb | cab 
cbb | cab 
cbb | cab 
cbb | cab 
cbb | cab 
dbb | dab 
dbb | dab 
dbb | dab 
dbb | dab 
bbac | abac 
bbad | abad 
bbcc | abcc 
bbcc | abcc 
bbda | abda 
bbda | abda 
bbdc | abdc 
abba | aaba 
abbc | aabc 
abbd | aabd 
aabb | aaab 
acbb | acab 
acbb | acab 
cbbc | cabc 
cbbd | cabd 
cabb | caab 
ccbb | ccab 
ccbb | ccab 
dbba | daba 
dbbd | dabd 
dcbb | dcab 
dcbb | dcab 
dcbb | dcab 
ddbb | ddab 
ddbb | ddab 
bbdca | abdca 
acbbc | acabc 
acbbd | acabd 
adbbc | adabc 
cbbca | cabca 
cacbb | cacab 
cdbba | cdaba 
cdbbc | cdabc 
cdbbc | cdabc 
dbbad | dabad 
dcbbd | dcabd 
dcabb | dcaab 
ddabb | ddaab 
bbaccd | abaccd 
bbdadc | abdadc 
aabbca | aaabca 
ccabbd | ccaabd 
dbbcad | dabcad 
dbbcda | dabcda 
dbbdcc | dabdcc 
dbbdcd | dabdcd 
dacbba | dacaba 
ddbbac | ddabac 
bbaaccd | abaaccd 
bbacada | abacada 
bbccdad | abccdad 
bbdacda | abdacda 
bbdacdc | abdacdc 
bbdccca | abdccca 
abbaaad | aabaaad 
abbcadd | aabcadd 
cbbacac | cabacac 
cbbcccc | cabcccc 
cbbccda | cabccda 
cbbcdca | cabcdca 
caabbaa | caaabaa 
cadadbb | cadadab 
ccbbcda | ccabcda 
ccaabba | ccaaaba 
cccbbca | cccabca 
cdabbcc | cdaabcc 
cdcadbb | cdcadab 
dacbbdc | dacabdc 
dadddbb | dadddab 
dcbbada | dcabada 
dccbbad | dccabad 
ddabbaa | ddaabaa 
ddabbac | ddaabac 
dddbbca | dddabca 
bbacaddc | abacaddc 
bbcaccaa | abcaccaa 
bbcdcdac | abcdcdac 
adaddbbd | adaddabd 
cbbadaac | cabadaac 
cabbacca | caabacca 
cacddbba | cacddaba 
cadcdcbb | cadcdcab 
ccdacabb | ccdacaab 
daddabbc | daddaabc 
dccdcdbb | dccdcdab 
ddaabbaa | ddaaabaa 
ddadacbb | ddadacab 
dddcddbb | dddcddab 
bbdddcaad | abdddcaad 
acadccdbb | acadccdab 
adbbaddcd | adabaddcd 
addabbcaa | addaabcaa 
cbbccacda | cabccacda 
cdacdbbad | cdacdabad 
cdddbbcdc | cdddabcdc 
cddddbbac | cddddabac 
daddaabbd | daddaaabd 
dccadbbda | dccadabda 
bbcaaaddcd | abcaaaddcd 
aadbbdaddd | aadabdaddd 
adcbbcccda | adcabcccda 
caacccbbcd | caacccabcd 
ccddcdaabb | ccddcdaaab 
dbbdaadacd | dabdaadacd 
dcadcbbdac | dcadcabdac 
ddaddaabbc | ddaddaaabc 
abbcaddddaa | aabcaddddaa 
acdcdbbdaca | acdcdabdaca 
caaaacabbad | caaaacaabad 
cadaacbbacc | cadaacabacc 
cdccddbbacc | cdccddabacc 
cddcabbaccc | cddcaabaccc 
daccadcbbdc | daccadcabdc 
dcaaadcaabb | dcaaadcaaab 
dcdbbddcccc | dcdabddcccc 
bbcacaaacdcd | abcacaaacdcd 
bbdadaccaddd | abdadaccaddd 
acdbbdaadaca | acdabdaadaca 
acdddacabbad | acdddacaabad 
ccbbdddcdcdd | ccabdddcdcdd 
ccdaccacdabb | ccdaccacdaab 
daacaaabbcad | daacaaaabcad 
dcaadaadddbb | dcaadaadddab 
bbcdacdadcdad | abcdacdadcdad 
aaacadadcbbaa | aaacadadcabaa 
ccdddccbbaacd | ccdddccabaacd 
dcaadddbbcccc | dcaadddabcccc 
dcddaddccccbb | dcddaddccccab 
abbaaccaccccac | aabaaccaccccac 
aaaddaabbaaaad | aaaddaaabaaaad 
accdadbbaddcdc | accdadabaddcdc 
daadccdacdcdbb | daadccdacdcdab 
ddaabbdaaadaac | ddaaabdaaadaac 
bbcdaaaaccddddc | abcdaaaaccddddc 
aaaacccddabbddd | aaaacccddaabddd 
caaacdcbbdcadda | caaacdcabdcadda 
ccdcdddadbbdcac | ccdcdddadabdcac 
adbbcdacdaccdcac | adabcdacdaccdcac 
caccddabbadacdcd | caccddaabadacdcd 
dbbcdacddaadddda | dabcdacddaadddda 
ddacaaddbbccdacd | ddacaaddabccdacd 
ccadadccccbbdccad | ccadadccccabdccad 
dcdddddbbacacdaacc | dcdddddabacacdaacc 
adaccccadabbcdcaaaaa | adaccccadaabcdcaaaaa 
cddadddcdadbbddcacaadcc | cddadddcdadabddcacaadcc 
dcaabbcddaacdaaadcddacdc | dcaaabcddaacdaaadcddacdc 
cddcdacaccdddddccacdbbdaca | cddcdacaccdddddccacdabdaca 
aacadcdaacccacacddbbddacaacd | aacadcdaacccacacddabddacaacd 
cacdaadacacdcbbccadaccacdadadcd | cacdaadacacdcabccadaccacdadadcd 
cacbbcacdcccddccaaccaccadcdadacacdc | cacabcacdcccddccaaccaccadcdadacacdc 
