bbbb | bbba 
bbbb | bbba 
bbbb | bbba 
bbbb | bbba 
bbbb | bbba 
bbbb | bbba 
bbbb | bbba 
bbbb | bbba 
bbbb | bbba 
bbbb | bbba 
bbbb | bbba 
bbbb | bbba 
aaaa | aaab 
aaaa | aaab 
aaaa | aaab 
aaaa | aaab 
aaaa | aaab 
aaaa | aaab 
aaaa | aaab 
aaaa | aaab 
aaaa | aaab 
aaaa | aaab 
aaaa | aaab 
aaaa | aaab 
aaaa | aaab 
bbbbc | bbbac 
bbbbc | bbbac 
bbbbc | bbbac 
bbbbc | bbbac 
bbbbc | bbbac 
bbbbc | bbbac 
bbbbc | bbbac 
bbbbc | bbbac 
bbbbd | bbbad 
bbbbd | bbbad 
bbbbd | bbbad 
bbbbd | bbbad 
bbbbd | bbbad 
bbbbd | bbbad 
bbbbd | bbbad 
bbbbd | bbbad 
bbbbd | bbbad 
cbbbb | cbbba 
cbbbb | cbbba 
cbbbb | cbbba 
cbbbb | cbbba 
dbbbb | dbbba 
aaaac | aaabc 
aaaac | aaabc 
aaaac | aaabc 
aaaac | aaabc 
aaaac | aaabc 
aaaac | aaabc 
aaaad | aaabd 
aaaad | aaabd 
aaaad | aaabd 
aaaad | aaabd 
aaaad | aaabd 
caaaa | caaab 
caaaa | caaab 
caaaa | caaab 
caaaa | caaab 
caaaa | caaab 
daaaa | daaab 
bbbbcd | bbbacd 
bbbbdc | bbbadc 
bbbbdd | bbbadd 
dbbbbc | dbbbac 
dbbbbd | dbbbad 
ddbbbb | ddbbba 
ddbbbb | ddbbba 
aaaacc | aaabcc 
aaaacc | aaabcc 
aaaadc | aaabdc 
caaaad | caaabd 
cdaaaa | cdaaab 
daaaac | daaabc 
daaaac | daaabc 
dcaaaa | dcaaab 
bbbbccd | bbbaccd 
bbbbccd | bbbaccd 
bbbbcdc | bbbacdc 
bbbbcdd | bbbacdd 
bbbbddd | bbbaddd 
bbbbddd | bbbaddd 
cbbbbdd | cbbbadd 
ccbbbbd | ccbbbad 
dbbbbdd | dbbbadd 
dccbbbb | dccbbba 
dcdbbbb | dcdbbba 
aaaaccc | aaabccc 
aaaaccd | aaabccd 
aaaacdc | aaabcdc 
aaaacdc | aaabcdc 
aaaadcc | aaabdcc 
aaaaddc | aaabddc 
caaaacc | caaabcc 
caaaadd | caaabdd 
ccaaaac | ccaaabc 
ccaaaac | ccaaabc 
ccaaaac | ccaaabc 
cccaaaa | cccaaab 
ccdaaaa | ccdaaab 
cdaaaad | cdaaabd 
cdcaaaa | cdcaaab 
daaaacc | daaabcc 
daaaacd | daaabcd 
ddaaaad | ddaaabd 
ddcaaaa | ddcaaab 
bbbbcdcc | bbbacdcc 
bbbbcdcd | bbbacdcd 
bbbbcddc | bbbacddc 
bbbbdcdd | bbbadcdd 
ccbbbbdc | ccbbbadc 
ccbbbbdd | ccbbbadd 
cdccbbbb | cdccbbba 
dbbbbccd | dbbbaccd 
dcdbbbbc | dcdbbbac 
dcddbbbb | dcddbbba 
aaaacccc | aaabcccc 
aaaacccd | aaabcccd 
aaaaddcd | aaabddcd 
cccdaaaa | cccdaaab 
ccddaaaa | ccddaaab 
cdaaaadc | cdaaabdc 
daaaadcc | daaabdcc 
dccaaaad | dccaaabd 
ddaaaadc | ddaaabdc 
ddaaaadd | ddaaabdd 
bbbbccdcc | bbbaccdcc 
bbbbcdccd | bbbacdccd 
bbbbdcccd | bbbadcccd 
cbbbbcddd | cbbbacddd 
dccbbbbdd | dccbbbadd 
ddddbbbbc | ddddbbbac 
aaaacdcdc | aaabcdcdc 
aaaadcdcc | aaabdcdcc 
caaaacdcc | caaabcdcc 
caaaadccc | caaabdccc 
ccaaaaddd | ccaaabddd 
cccdaaaad | cccdaaabd 
ccdaaaacd | ccdaaabcd 
cddccaaaa | cddccaaab 
cdddaaaad | cdddaaabd 
