aaaabbbb | aaaabbba 
aaaabbbb | aaaabbba 
aaaabbbb | aaaabbba 
aaaabbbb | aaaabbba 
aaaabbbb | aaaabbba 
aaaabbbb | aaaabbba 
aaaabbbb | aaaabbba 
aaaabbbb | aaaabbba 
aaaabbbb | aaaabbba 
bbbbaaaa | bbbaaaaa 
bbbbaaaa | bbbaaaaa 
bbbbaaaa | bbbaaaaa 
bbbbaaaa | bbbaaaaa 
bbbbaaaa | bbbaaaaa 
bbbbaaaa | bbbaaaaa 
bbbbaaaa | bbbaaaaa 
bbbbaaaa | bbbaaaaa 
aaaadbbbb | aaaadbbba 
bbbbaaaac | bbbaaaaac 
bbbbaaaac | bbbaaaaac 
bbbbaaaad | bbbaaaaad 
bbbbcaaaa | bbbacaaaa 
bbbbcaaaa | bbbacaaaa 
bbbbcaaaa | bbbacaaaa 
bbbbdaaaa | bbbadaaaa 
caaaabbbb | caaaabbba 
cbbbbaaaa | cbbbaaaaa 
cbbbbaaaa | cbbbaaaaa 
cbbbbaaaa | cbbbaaaaa 
daaaabbbb | daaaabbba 
daaaabbbb | daaaabbba 
daaaabbbb | daaaabbba 
aaaabbbbcd | aaaabbbacd 
aaaabbbbdd | aaaabbbadd 
aaaabbbbdd | aaaabbbadd 
aaaacbbbbc | aaaacbbbac 
aaaadbbbbc | aaaadbbbac 
aaaadbbbbd | aaaadbbbad 
aaaadbbbbd | aaaadbbbad 
aaaadcbbbb | aaaadcbbba 
bbbbaaaacc | bbbaaaaacc 
bbbbaaaacc | bbbaaaaacc 
bbbbaaaacc | bbbaaaaacc 
bbbbaaaacd | bbbaaaaacd 
bbbbaaaadd | bbbaaaaadd 
bbbbaaaadd | bbbaaaaadd 
bbbbcaaaac | bbbacaaaac 
bbbbcaaaad | bbbacaaaad 
bbbbcdaaaa | bbbacdaaaa 
bbbbdaaaac | bbbadaaaac 
bbbbdaaaac | bbbadaaaac 
bbbbdaaaad | bbbadaaaad 
caaaabbbbc | caaaabbbac 
caaaabbbbd | caaaabbbad 
caaaabbbbd | caaaabbbad 
caaaadbbbb | caaaadbbba 
ccbbbbaaaa | ccbbbaaaaa 
ccbbbbaaaa | ccbbbaaaaa 
cdbbbbaaaa | cdbbbaaaaa 
dbbbbaaaac | dbbbaaaaac 
dbbbbdaaaa | dbbbadaaaa 
aaaabbbbccd | aaaabbbaccd 
aaaabbbbddc | aaaabbbaddc 
aaaabbbbddc | aaaabbbaddc 
aaaabbbbddc | aaaabbbaddc 
aaaacbbbbdd | aaaacbbbadd 
aaaaccbbbbc | aaaaccbbbac 
aaaacccbbbb | aaaacccbbba 
bbbbaaaacdd | bbbaaaaacdd 
bbbbaaaadcd | bbbaaaaadcd 
bbbbaaaadcd | bbbaaaaadcd 
bbbbcaaaacc | bbbacaaaacc 
bbbbddaaaad | bbbaddaaaad 
caaaacbbbbc | caaaacbbbac 
caaaadbbbbd | caaaadbbbad 
caaaaddbbbb | caaaaddbbba 
cbbbbcaaaac | cbbbacaaaac 
cdaaaabbbbd | cdaaaabbbad 
cddaaaabbbb | cddaaaabbba 
daaaabbbbcc | daaaabbbacc 
daaaabbbbcc | daaaabbbacc 
daaaacbbbbc | daaaacbbbac 
daaaaccbbbb | daaaaccbbba 
daaaaddbbbb | daaaaddbbba 
dbbbbaaaacd | dbbbaaaaacd 
dbbbbdaaaac | dbbbadaaaac 
ddbbbbcaaaa | ddbbbacaaaa 
ddcaaaabbbb | ddcaaaabbba 
aaaabbbbcdcc | aaaabbbacdcc 
aaaacbbbbccd | aaaacbbbaccd 
aaaadbbbbddc | aaaadbbbaddc 
aaaadcdbbbbc | aaaadcdbbbac 
bbbbaaaacccc | bbbaaaaacccc 
bbbbaaaacdcd | bbbaaaaacdcd 
bbbbaaaadcdd | bbbaaaaadcdd 
bbbbcaaaaddc | bbbacaaaaddc 
bbbbdddaaaac | bbbadddaaaac 
caaaadcbbbbc | caaaadcbbbac 
cbbbbcdcaaaa | cbbbacdcaaaa 
cbbbbddaaaad | cbbbaddaaaad 
cbbbbddcaaaa | cbbbaddcaaaa 
ccbbbbaaaadc | ccbbbaaaaadc 
ccdbbbbcaaaa | ccdbbbacaaaa 
cdaaaaccbbbb | cdaaaaccbbba 
daaaacccbbbb | daaaacccbbba 
daaaadddbbbb | daaaadddbbba 
dbbbbccaaaad | dbbbaccaaaad 
dbbbbdccaaaa | dbbbadccaaaa 
dcaaaadcbbbb | dcaaaadcbbba 
dccaaaacbbbb | dccaaaacbbba 
dcddbbbbaaaa | dcddbbbaaaaa 
ddaaaadcbbbb | ddaaaadcbbba 
ddbbbbcaaaac | ddbbbacaaaac 
ddcaaaabbbbc | ddcaaaabbbac 
aaaabbbbddccc | aaaabbbaddccc 
bbbbaaaaccccc | bbbaaaaaccccc 
bbbbaaaadcddd | bbbaaaaadcddd 
bbbbaaaaddccc | bbbaaaaaddccc 
bbbbccdcaaaac | bbbaccdcaaaac 
bbbbddccaaaad | bbbaddccaaaad 
caaaadbbbbdcd | caaaadbbbadcd 
caaaadcdcbbbb | caaaadcdcbbba 
cbbbbcddaaaad | cbbbacddaaaad 
ccbbbbcaaaacc | ccbbbacaaaacc 
