bbabdbccaccaaa | ababdbccaccaaa 
bbdbdbcdaaadac | abdbdbcdaaadac 
bddbbdbccaaaad | addbbdbccaaaad 
cbbadbbcaaacac | cabadbbcaaacac 
dddcbbbabaadaaa | dddcabbabaadaaa 
babbaabdcaaddada | aabbaabdcaaddada 
dbbcdbddbcaacaaa | dabcdbddbcaacaaa 
babcbcbcaaddcaacc | aabcbcbcaaddcaacc 
bbcadbdbdaaaaacac | abcadbdbdaaaaacac 
bbabbcaaacddddccda | ababbcaaacddddccda 
bcbccacbdcbaccaada | acbccacbdcbaccaada 
ccbddbdbbaddccadaa | ccaddbdbbaddccadaa 
ddbbabdbddadcaaaaa | ddababdbddadcaaaaa 
acabbdcbcbcdaaaadad | acaabdcbcbcdaaaadad 
bcaabddcccbcabaaaad | acaabddcccbcabaaaad 
cbbbbcdddccaaaddcad | cabbbcdddccaaaddcad 
cdbdcdbcdbbdddaaada | cdadcdbcdbbdddaaada 
dbbdcbadabadaacddda | dabdcbadabadaacddda 
abbabbacdacdcacdddda | aababbacdacdcacdddda 
adbbbabaccaaacdcdadc | adabbabaccaaacdcdadc 
bbaccdcababadddcadaa | abaccdcababadddcadaa 
bccbabcdadbcddaadaca | accbabcdadbcddaadaca 
cbbbdccabacacdaccdda | cabbdccabacacdaccdda 
ccdbabbdbdacdaccadaa | ccdaabbdbdacdaccadaa 
adbbcbdcabddaaddaccac | adabcbdcabddaaddaccac 
addcdbcbccdbcabadadaa | addcdacbccdbcabadadaa 
cdbbcbbddcdcacadcadda | cdabcbbddcdcacadcadda 
dbcbccbdbdadaccccaaac | dacbccbdbdadaccccaaac 
babbaccccdcccbcacaddaa | aabbaccccdcccbcacaddaa 
babccabaddbcacacdcdaac | aabccabaddbcacacdcdaac 
cbaacbabdbdadddccacada | caaacbabdbdadddccacada 
cccabdbbdcccdcbcaaaadc | cccaadbbdcccdcbcaaaadc 
cddbcbbadbcdaaccccacaa | cddacbbadbcdaaccccacaa 
babadbcacdbccaaacaddadd | aabadbcacdbccaaacaddadd 
baccbcdbaabacadcdddadda | aaccbcdbaabacadcdddadda 
cacdbbbbadddcdcdaccacda | cacdabbbadddcdcdaccacda 
dbcbcddcdbabdcdcaddaaad | dacbcddcdbabdcdcaddaaad 
ddacaccddbdbdbbacaaadcc | ddacaccddadbdbbacaaadcc 
abcacbdadacdbcbaadaaaadc | aacacbdadacdbcbaadaaaadc 
bddaacbbbcaddadddaacdccc | addaacbbbcaddadddaacdccc 
dacbbacdbcbdcccdaacdaaca | dacabacdbcbdcccdaacdaaca 
dbbadaabccbacccccccaadaa | dabadaabccbacccccccaadaa 
ddcbccabadbcacbadcacdaac | ddcaccabadbcacbadcacdaac 
baaacbabcacdcaddbaaadcacc | aaaacbabcacdcaddbaaadcacc 
cadbcbddbaccbcacacadddacd | cadacbddbaccbcacacadddacd 
cbbdbaacbddadadcddaadaccd | cabdbaacbddadadcddaadaccd 
cdcaddacabbdbbcacdcacccaa | cdcaddacaabdbbcacdcacccaa 
dbabcaddcbbddddccadadacda | daabcaddcbbddddccadadacda 
dddbabdcbbccddaadadaadadc | dddaabdcbbccddaadadaadadc 
adbcbccddcdbccbacacaccaaad | adacbccddcdbccbacacaccaaad 
badbaaddbacbccccddaacadadc | aadbaaddbacbccccddaacadadc 
