bababdadab | aababdadab 
aaababccdbb | aaaaabccdbb 
adbaabcbbaa | adaaabcbbaa 
babbaaccdba | aabbaaccdba 
cabadaababb | caaadaababb 
cacbaabdbba | cacaaabdbba 
aabbdcdbaacb | aaabdcdbaacb 
abbaaccbbcca | aabaaccbbcca 
abdabbcbcada | aadabbcbcada 
acadcdbbbaba | acadcdabbaba 
adbdadcbabba | adadadcbabba 
dbabdcbbaaad | daabdcbbaaad 
aababccbdadbc | aaaabccbdadbc 
adbbaaaccbbad | adabaaaccbbad 
bcbdbdaadbcaa | acbdbdaadbcaa 
cbbaaabdbadca | cabaaabdbadca 
ccbcbbaadabca | ccacbbaadabca 
ddcbbbbdaaaaa | ddcabbbdaaaaa 
baacbbbdaacaad | aaacbbbdaacaad 
bbbaaaccdadbda | abbaaaccdadbda 
bbbaacabddccaa | abbaacabddccaa 
bbcadadbccabaa | abcadadbccabaa 
bdadbabdcbaaaa | adadbabdcbaaaa 
caaabcadbcbdab | caaaacadbcbdab 
cbbdbaddabadac | cabdbaddabadac 
dbcaaadadbbbda | dacaaadadbbbda 
dbdbabadacbdac | dadbabadacbdac 
dcabdbdbdbaaaa | dcaadbdbdbaaaa 
aabbdadbccdacdb | aaabdadbccdacdb 
abbccbcddbdaada | aabccbcddbdaada 
abbdacdcbabcdca | aabdacdcbabcdca 
abdbabaccacccbd | aadbabaccacccbd 
abdbaddabaacbdc | aadbaddabaacbdc 
addcbacabbbdaaa | addcaacabbbdaaa 
bdabdbcaadbaadc | adabdbcaadbaadc 
bdcdababccabcda | adcdababccabcda 
cdaadacadbcbbba | cdaadacadacbbba 
cdabbdbdabacadc | cdaabdbdabacadc 
dbbabbdadcacdaa | dababbdadcacdaa 
acabcdbbbaaaaaac | acaacdbbbaaaaaac 
bbbbacaacdcdcdda | abbbacaacdcdcdda 
bdabbacddcadddab | adabbacddcadddab 
bdbabcbdaccaaacc | adbabcbdaccaaacc 
ddabbcabacbcacad | ddaabcabacbcacad 
dddadbbaadbdbdac | dddadabaadbdbdac 
aaacdbdcbdcabcdba | aaacdadcbdcabcdba 
acbaddbdcccdababc | acaaddbdcccdababc 
adbcddabddcbdbdaa | adacddabddcbdbdaa 
bbbaacbcccdddacac | abbaacbcccdddacac 
bbdcdaadadddabcba | abdcdaadadddabcba 
