dbaaadcabaaada | daaaadcabaaada 
addacccbabaaabbaa | addacccaabaaabbaa 
baacbaabcbcdacaaa | aaacbaabcbcdacaaa 
cddaaacaadcadabad | cddaaacaadcadaaad 
aacdaaabccabbadacd | aacdaaaaccabbadacd 
adabbadaabacbcbcaac | adaabadaabacbcbcaac 
adbccbacadabddaabaa | adaccbacadabddaabaa 
cabaaccaaddbaacbcca | caaaaccaaddbaacbcca 
dcacabbccbddaaaabcaa | dcacaabccbddaaaabcaa 
cabdcaabccaabbcbaabca | caadcaabccaabbcbaabca 
dacadacbabccbdacaaabb | dacadacaabccbdacaaabb 
dadabbdadacbbdbabaaba | dadaabdadacbbdbabaaba 
bcaadcaddacadcabaaddcc | acaadcaddacadcabaaddcc 
cacbabaddbbaacbcadaacc | cacaabaddbbaacbcadaacc 
caddacbaacddadadddaabb | caddacaaacddadadddaabb 
aaabdcdacabbbabacbddcad | aaaadcdacabbbabacbddcad 
abaabdababcabaaddbbdcbd | aaaabdababcabaaddbbdcbd 
bacbbdadadaaadacbdcccba | aacbbdadadaaadacbdcccba 
dcdaaadabaadabcbdcabbcb | dcdaaadaaaadabcbdcabbcb 
aaaccbadddcadbdacabddcac | aaaccaadddcadbdacabddcac 
aabacbaaddcadbcbaacccbbd | aaaacbaaddcadbcbaacccbbd 
cbaaccacdacabdccdccabada | caaaccacdacabdccdccabada 
ccccdaaccacdcaabdadcccaa | ccccdaaccacdcaaadadcccaa 
abaaddbbcddcaabccacaadcdd | aaaaddbbcddcaabccacaadcdd 
accaacabacaddcddcbaadbcdc | accaacaaacaddcddcbaadbcdc 
acccbbbbccdabacadadaaabbd | acccabbbccdabacadadaaabbd 
acccbbbcacaacacdcddaadabd | acccabbcacaacacdcddaadabd 
bcbcaadbacbdbabaaadbabdbd | acbcaadbacbdbabaaadbabdbd 
cadcaacdbbaaabcacbdbabdbb | cadcaacdabaaabcacbdbabdbb 
cbabacbbbaadcadadcaccdcab | caabacbbbaadcadadcaccdcab 
cdaaccabdaddbacdcaaadcdcd | cdaaccaadaddbacdcaaadcdcd 
cddaacdacacccbcdabdacabab | cddaacdacacccacdabdacabab 
aabaaacbaccbbcbbbabbdbcdca | aaaaaacbaccbbcbbbabbdbcdca 
abdcdddacbcaabcadacaddbcab | aadcdddacbcaabcadacaddbcab 
dbacabccbbbabcaacdaabaccdc | daacabccbbbabcaacdaabaccdc 
dbcbdadaaabcaaccaadbddcbdd | dacbdadaaabcaaccaadbddcbdd 
dcaaadabddbcdbbababcadacdc | dcaaadaaddbcdbbababcadacdc 
aadabcbdcccdccbddabaabdcbaa | aadaacbdcccdccbddabaabdcbaa 
acaaaccbcdbaabcdcccbccaadbb | acaaaccacdbaabcdcccbccaadbb 
addabdcdacaabbbcbabcccabcad | addaadcdacaabbbcbabcccabcad 
baacbcbcadbbcddaddbcdaaabac | aaacbcbcadbbcddaddbcdaaabac 
bacbadcdbabaabdabbddcabcacc | aacbadcdbabaabdabbddcabcacc 
bddcdcacdcdadbdcbacaabaaabc | addcdcacdcdadbdcbacaabaaabc 
ddccabaacdaccddaadcdcbadbda | ddccaaaacdaccddaadcdcbadbda 
accbcabdacabcacabbbddaadcbcb | accacabdacabcacabbbddaadcbcb 
bbcbaccabddaabdcaaddbaaddbdd | abcbaccabddaabdcaaddbaaddbdd 
bcbbcadbacccbcdacababadaddca | acbbcadbacccbcdacababadaddca 
cacbccdbacabdcaddbbcbaacadad | cacaccdbacabdcaddbbcbaacadad 
cbbbdbdbbcacddacdddaadaacaba | cabbdbdbbcacddacdddaadaacaba 
ccbaaccbdadddcbbadaaacadcdbc | ccaaaccbdadddcbbadaaacadcdbc 
dccaaadbdcdabccdaccababcdabd | dccaaadadcdabccdaccababcdabd 
abbdcabbbaddddcccbccaaaaadbbb | aabdcabbbaddddcccbccaaaaadbbb 
adabadddaddbbaadbccbadcbbccab | adaaadddaddbbaadbccbadcbbccab 
cbcaaaacbdbdabdccacdccccadbda | cacaaaacbdbdabdccacdccccadbda 
cddbcacdaddaabcbaabcacbcacddd | cddacacdaddaabcbaabcacbcacddd 
dababcbcdaadcbccbcbacadddadba | daaabcbcdaadcbccbcbacadddadba 
dbdcbbabcbbacabdaabacbababdcd | dadcbbabcbbacabdaabacbababdcd 
accbacadacbabbcdcabbbadbcccbab | accaacadacbabbcdcabbbadbcccbab 
baddacccadadbacbcacbcbbabcadcb | aaddacccadadbacbcacbcbbabcadcb 
bddcdacacdbbaabdaddbbcdaabddab | addcdacacdbbaabdaddbbcdaabddab 
acbdbbabadcaadabdbcbbbbaddacbdb | acadbbabadcaadabdbcbbbbaddacbdb 
cbacbddaccdddadbddadbdccbdaaaab | caacbddaccdddadbddadbdccbdaaaab 
cccbbcaaddbbacbdaacccbbbdcabdaa | cccabcaaddbbacbdaacccbbbdcabdaa 
acabcbaabbddabdabccbdcbabbdbbdda | acaacbaabbddabdabccbdcbabbdbbdda 
addbdbabdcaabcacbacbcbbcbcbbcdaa | addadbabdcaabcacbacbcbbcbcbbcdaa 
bbddbaacccadccddcadacacbaddcdcac | abddbaacccadccddcadacacbaddcdcac 
bdaadabcddddddbabbbcacabccadcacb | adaadabcddddddbabbbcacabccadcacb 
bdaaddacacbcabaaddbdcbddbbbbbbad | adaaddacacbcabaaddbdcbddbbbbbbad 
bdccbadacddbacbdaccabccaacbddbab | adccbadacddbacbdaccabccaacbddbab 
dadcdacacbaccbdbbbddbdbabddaccaa | dadcdacacaaccbdbbbddbdbabddaccaa 
dbaacbcdcacacdbdddaadcbcaadbcbdc | daaacbcdcacacdbdddaadcbcaadbcbdc 
adaacdcdbccdaabdabbbcdbddcabccadc | adaacdcdaccdaabdabbbcdbddcabccadc 
bdccbdacdbabadcdacdbccccdabacadca | adccbdacdbabadcdacdbccccdabacadca 
ccdcbddcdcbdbabdaababccaadacbabcb | ccdcaddcdcbdbabdaababccaadacbabcb 
cdbcabdaadbcddaadddbbdcdabbbdacac | cdacabdaadbcddaadddbbdcdabbbdacac 
dabcbbcccbadadaababcdacbddbccabdc | daacbbcccbadadaababcdacbddbccabdc 
dbcaadbdccdaccbadacadbcacdbcdabcc | dacaadbdccdaccbadacadbcacdbcdabcc 
dbcbbccdaababbbbbdaadcaccddcadcca | dacbbccdaababbbbbdaadcaccddcadcca 
ddddcbccdbabcddacccaabdacccaacbba | ddddcaccdbabcddacccaabdacccaacbba 
abaadcbcbdaddccdadddbccddaadddcbac | aaaadcbcbdaddccdadddbccddaadddcbac 
bdbabbaabdbcdcdbcccccdcddaababcaac | adbabbaabdbcdcdbcccccdcddaababcaac 
ccacbdccadabbcabcddaabddabbddcbacc | ccacadccadabbcabcddaabddabbddcbacc 
daadbccdbbdddaabcdaaadcbddbdbdbadb | daadaccdbbdddaabcdaaadcbddbdbdbadb 
dbbcbaacbadcbcadcdacccaacdcacbcbbb | dabcbaacbadcbcadcdacccaacdcacbcbbb 
ddadacddbabdbbcdccadcdccadbdcdaaac | ddadacddaabdbbcdccadcdccadbdcdaaac 
accbabbbbaccbbdcdcadadacacdcbadcbdd | accaabbbbaccbbdcdcadadacacdcbadcbdd 
bbaadddcdabbbadbbadbbdbdddcaddcabad | abaadddcdabbbadbbadbbdbdddcaddcabad 
bddcbdcacbbcdcccbddaccbbcdbbabaaaaa | addcbdcacbbcdcccbddaccbbcdbbabaaaaa 
cadddbacadabaccaacdddbcdbabbbdcbcbb | cadddaacadabaccaacdddbcdbabbbdcbcbb 
cbddcabbcbaacdbddbdcccbabcbdaadcaad | caddcabbcbaacdbddbdcccbabcbdaadcaad 
abbbdbbcdabadcbdcabdbccdccbaaabbabcb | aabbdbbcdabadcbdcabdbccdccbaaabbabcb 
acccdcbaddcdbabddabdbdabbaddcdadcabb | acccdcaaddcdbabddabdbdabbaddcdadcabb 
cbdcbcdacbdadbdcdabbacbbdaaacdbcaddd | cadcbcdacbdadbdcdabbacbbdaaacdbcaddd 
ccadbcbcddccbaaaadabccccabdbcddcdacc | ccadacbcddccbaaaadabccccabdbcddcdacc 
dadbdbdbccadadbaadccdacdccccabccacdd | dadadbdbccadadbaadccdacdccccabccacdd 
dbcbabaccdccdccdabaacdcdaddcadacdcdc | dacbabaccdccdccdabaacdcdaddcadacdcdc 
aacbdcbdcccbccdccaadbcbdacddaabcdccad | aacadcbdcccbccdccaadbcbdacddaabcdccad 
abbdbabbddbdcaaadbddbccbbdaaccbbdccca | aabdbabbddbdcaaadbddbccbbdaaccbbdccca 
bbbadabdacadcaddbabcdacccdbcccbcdadcc | abbadabdacadcaddbabcdacccdbcccbcdadcc 
bcdbcdaabcdcdbbacdadcdabdbbdcacdbabad | acdbcdaabcdcdbbacdadcdabdbbdcacdbabad 
cbaaacdacccdbcdccaadcdcacdbdbdddbcbab | caaaacdacccdbcdccaadcdcacdbdbdddbcbab 
ccddccbbdadcdcdcbddcdcabadbbadabccaaa | ccddccabdadcdcdcbddcdcabadbbadabccaaa 
dacaacdbdccdbabdddabcddbbbabcacadcbdc | dacaacdadccdbabdddabcddbbbabcacadcbdc 
bcacdbadcbaddaccaabbddddacccdcbadcccbd | acacdbadcbaddaccaabbddddacccdcbadcccbd 
caaccbbadcababbaddbcbddcbacdabbdbddcbb | caaccabadcababbaddbcbddcbacdabbdbddcbb 
cadbabcbcddbcbbcdbcaabaccbacbaabcbccbd | cadaabcbcddbcbbcdbcaabaccbacbaabcbccbd 
caddddcababddbdacdddbadabdddcccbacadbb | caddddcaaabddbdacdddbadabdddcccbacadbb 
cbadddcdcacaddddcdbcbbdadbcacaaccabcdb | caadddcdcacaddddcdbcbbdadbcacaaccabcdb 
